nombre,codigo
Banco Central de Venezuela,0001
"Banco de Venezuela, S.A. Banco Universal",0102
"Banco Venezolano de Crédito, S.A. Banco Universal",0104
"Banco Mercantil C.A., Banco Universal",0105
"Banco Provincial, S.A. Banco Universal",0108
"Banco del Caribe C.A., Banco Universal",0114
"Banco Exterior C.A., Banco Universal",0115
"Banco Caroní C.A., Banco Universal",0128
"Banesco Banco Universal, C.A.",0134
"Banco Sofitasa Banco Universal, C.A .",0137
"Banco Plaza, Banco universal",0138
Banco de la Gente Emprendedora C.A.,0146
"Banco Fondo Común, C.A Banco Universal",0151
"100% Banco, Banco Comercial, C.A",0156
"DelSur, Banco Universal C.A.",0157
"Banco del Tesoro C.A., Banco Universal",0163
"Banco Agrícola de Venezuela C.A., Banco Universal",0166
"Bancrecer S.A., Banco Microfinanciero ",0168
"Mi Banco, Banco Microfinanciero, C.A.",0169
"Banco Activo C.A., Banco Universal",0171
"Bancamiga Banco Universal, C.A.",0172
"Banco Internacional de Desarrollo C.A., Banco Universal",0173
"Banplus Banco Universal, C.A.",0174
"Banco Bicentenario del Pueblo, Banco Universal C.A.",0175
"Banco de la Fuerza Armada Nacional Bolivariana, B.U. ",0177
"N58 Banco Digital, Banco Microfinanciero",0178
"Banco Nacional de Crédito C.A., Banco Universal",0191
Instituto Municipal de Crédito Popular,0601
